id cx cy cz
661 0.725 0.668024 0
662 0.525 0.465951 0
663 0.651976 0.190372 0
664 0.724786 0.118707 0
665 0.749725 0.249606 0
666 0.5 0.451517 0
667 0.250058 0.278345 0
668 0.849282 0.624868 0
669 0.249964 0.855645 0
670 0.985213 0.174958 0
671 0.749995 0.42265 0
672 0.525173 0.234668 0
673 0.926169 0.903259 0
674 0.74878 0.191496 0
675 0.174906 0.148877 0
676 0.249994 0.682453 0
677 0.55 0.278339 0
678 0.7 0.682457 0
679 0.675 0.639156 0
680 0.849397 0.595929 0
681 0.349999 0.769059 0
682 0.65 0.624722 0
683 0.200237 0.192087 0
684 0.749273 0.104996 0
685 0.275034 0.149054 0
686 0.225055 0.321645 0
687 0.700011 0.249418 0
688 0.625 0.408217 0
689 0.748532 0.16245 0
690 0.175 0.0144338 0
691 0.20064 0.249691 0
692 0.575477 0.234529 0
693 0.122339 0.380339 0
694 0.824696 0.639214 0
695 0.774957 0.639164 0
696 0.772878 0.206137 0
697 0.425 0.408216 0
698 0.375 0.379349 0
699 0.375 0.408216 0
700 0.75 0.682457 0
701 0.873004 0.638869 0
702 0.42496 0.292771 0
703 0.525455 0.203621 0
704 0.199905 0.711252 0
705 0.425 0.581421 0
706 0.249992 0.71132 0
707 0.550283 0.249032 0
708 0.199922 0.682397 0
709 0.225251 0.235169 0
710 0.825123 0.755076 0
711 0.225096 0.292801 0
712 0.4 0.42265 0
713 0.22495 0.754596 0
714 0.200055 0.336079 0
715 0.675679 0.205612 0
716 0.799957 0.624731 0
717 0.65 0.42265 0
718 0.874033 0.581652 0
719 0.224906 0.812309 0
720 0.724863 0.235063 0
721 0.200485 0.278456 0
722 0.625 0.581421 0
723 0.4 0.595855 0
724 0.824974 0.985581 0
725 0.399999 0.855662 0
726 0.724685 0.206179 0
727 0.625457 0.234795 0
728 0.55 0.509252 0
729 0.19978 0.797803 0
730 0.794137 0.160686 0
731 0.224915 0.841185 0
732 0.124185 0.148418 0
733 0.425 0.552554 0
734 0.675 0.408216 0
735 0.349997 0.855661 0
736 0.774957 0.668032 0
737 0.0148624 0.825117 0
738 0.374985 0.292755 0
739 0.650261 0.249289 0
740 0.772152 0.118941 0
741 0.22498 0.898959 0
742 0.148869 0.163984 0
743 0.896828 0.625203 0
744 0.35 0.364915 0
745 0.575 0.898964 0
746 0.675274 0.234801 0
747 0.724997 0.408217 0
748 0.6 0.595855 0
749 0.249974 0.884519 0
750 0.653267 0.16056 0
751 0.771576 0.146871 0
752 0.424989 0.321621 0
753 0.575 0.581421 0
754 0.575 0.494819 0
755 0.324995 0.812358 0
756 0.925751 0.931073 0
757 0.749994 0.451515 0
758 0.374998 0.841228 0
759 0.176489 0.235599 0
760 0.374993 0.321618 0
761 0.825318 0.726232 0
762 0.824696 0.668081 0
763 0.575 0.552554 0
764 0.799957 0.682466 0
765 0.174635 0.841132 0
766 0.175031 0.321584 0
767 0.674998 0.927831 0
768 0.55 0.53812 0
769 0.1761 0.206854 0
770 0.877509 0.409105 0
771 0.799964 0.711304 0
772 0.897742 0.596926 0
773 0.299869 0.191926 0
774 0.199917 0.884545 0
775 0.824905 0.465895 0
776 0.399994 0.336051 0
777 0.850361 0.712287 0
778 0.276388 0.120244 0
779 0.149991 0.335994 0
780 0.149878 0.193189 0
781 0.625 0.494819 0
782 0.399919 0.24949 0
783 0.399999 0.88453 0
784 0.849747 0.682975 0
785 0.349991 0.278318 0
786 0.324997 0.235013 0
787 0.575 0.841229 0
788 0.17542 0.292805 0
789 0.374946 0.23504 0
